GEOID,County,median_household_income
19001,Adair,63172
19003,Adams,64750
19005,Allamakee,64049
19007,Appanoose,50684
19009,Audubon,54973
19011,Benton,79444
19013,Black Hawk,62329
19015,Boone,75759
19017,Bremer,84727
19019,Buchanan,73493
19021,Buena Vista,62662
19023,Butler,65743
19025,Calhoun,65614
19027,Carroll,68041
19029,Cass,60815
19031,Cedar,76959
19033,Cerro Gordo,63149
19035,Cherokee,63638
19037,Chickasaw,72734
19039,Clarke,63120
19041,Clay,61756
19043,Clayton,60441
19045,Clinton,61080
19047,Crawford,61188
19049,Dallas,99533
19051,Davis,77176
19053,Decatur,56068
19055,Delaware,75896
19057,Des Moines,58084
19059,Dickinson,72446
19061,Dubuque,73495
19063,Emmet,64461
19065,Fayette,56043
19067,Floyd,62356
19069,Franklin,62214
19071,Fremont,69375
19073,Greene,56884
19075,Grundy,80701
19077,Guthrie,75795
19079,Hamilton,66685
19081,Hancock,67865
19083,Hardin,64656
19085,Harrison,75830
19087,Henry,62365
19089,Howard,63947
19091,Humboldt,66617
19093,Ida,63125
19095,Iowa,69787
19097,Jackson,69709
19099,Jasper,67784
19101,Jefferson,52210
19103,Johnson,72977
19105,Jones,68781
19107,Keokuk,60016
19109,Kossuth,62553
19111,Lee,58094
19113,Linn,75457
19115,Louisa,72500
19117,Lucas,63405
19119,Lyon,73735
19121,Madison,88110
19123,Mahaska,65200
19125,Marion,74193
19127,Marshall,70828
19129,Mills,81907
19131,Mitchell,66056
19133,Monona,59897
19135,Monroe,76324
19137,Montgomery,61261
19139,Muscatine,67427
19141,O'Brien,65076
19143,Osceola,67561
19145,Page,58264
19147,Palo Alto,67306
19149,Plymouth,79963
19151,Pocahontas,61434
19153,Polk,78827
19155,Pottawattamie,68718
19157,Poweshiek,61192
19159,Ringgold,67898
19161,Sac,68778
19163,Scott,72792
19165,Shelby,70295
19167,Sioux,81914
19169,Story,66197
19171,Tama,65483
19173,Taylor,65926
19175,Union,56495
19177,Van Buren,58417
19179,Wapello,56209
19181,Warren,89741
19183,Washington,71122
19185,Wayne,58257
19187,Webster,65335
19189,Winnebago,62853
19191,Winneshiek,67770
19193,Woodbury,68399
19195,Worth,69897
19197,Wright,58240
